"Time","TempC","DewTempC","RelH","WindDir","WindSpdkm.h","Visibilitykm","PresskPa","Hmdx","WindChill","Weather","Year","Month","Day","StationName"
"00:00","-5.5",-8.6,79,24,15,NA,"LegendMM",NA,-11,"LegendNANA",2015,1,1,"Barnwell AGDM"
"01:00","-5.3",-8.3,79,25,14,NA,"LegendMM",NA,-11,"LegendNANA",2015,1,1,"Barnwell AGDM"
"02:00","-5",-7.3,84,23,12,NA,"LegendMM",NA,-10,"LegendNANA",2015,1,1,"Barnwell AGDM"
"03:00","-3.7",-6.6,81,23,20,NA,"LegendMM",NA,-10,"LegendNANA",2015,1,1,"Barnwell AGDM"
"04:00","-2.5",-5.5,80,24,19,NA,"LegendMM",NA,-8,"LegendNANA",2015,1,1,"Barnwell AGDM"
"05:00","-2.4",-4.9,83,25,16,NA,"LegendMM",NA,-8,"LegendNANA",2015,1,1,"Barnwell AGDM"
"06:00","-2.3",-5.3,80,24,18,NA,"LegendMM",NA,-8,"LegendNANA",2015,1,1,"Barnwell AGDM"
"07:00","-2.9",-6.3,78,24,22,NA,"LegendMM",NA,-9,"LegendNANA",2015,1,1,"Barnwell AGDM"
"08:00","-3.5",-6.8,78,23,19,NA,"LegendMM",NA,-9,"LegendNANA",2015,1,1,"Barnwell AGDM"
"09:00","-3.6",-7.2,76,23,20,NA,"LegendMM",NA,-10,"LegendNANA",2015,1,1,"Barnwell AGDM"
"10:00","-3.9",-7.7,75,24,18,NA,"LegendMM",NA,-10,"LegendNANA",2015,1,1,"Barnwell AGDM"
"11:00","-3.2",-7.1,74,24,21,NA,"LegendMM",NA,-9,"LegendNANA",2015,1,1,"Barnwell AGDM"
"12:00",NA,NA,NA,NA,NA,NA,"",NA,NA,"",2015,1,1,"Barnwell AGDM"
"13:00","-1.7",-5.9,73,25,14,NA,"LegendMM",NA,-6,"LegendNANA",2015,1,1,"Barnwell AGDM"
"14:00","-0.8",-5.2,72,25,14,NA,"LegendMM",NA,-5,"LegendNANA",2015,1,1,"Barnwell AGDM"
"15:00","-1",-5.5,72,21,17,NA,"LegendMM",NA,-6,"LegendNANA",2015,1,1,"Barnwell AGDM"
"16:00","-1.6",-5.5,75,25,13,NA,"LegendMM",NA,-6,"LegendNANA",2015,1,1,"Barnwell AGDM"
"17:00","-3.2",-6.6,77,22,11,NA,"LegendMM",NA,-7,"LegendNANA",2015,1,1,"Barnwell AGDM"
"18:00","-4.3",-7.4,79,21,19,NA,"LegendMM",NA,-10,"LegendNANA",2015,1,1,"Barnwell AGDM"
"19:00","-6.1",-8.7,82,23,11,NA,"LegendMM",NA,-11,"LegendNANA",2015,1,1,"Barnwell AGDM"
